"attrition","age","gender","marital_status","department","job_role","job_level","job_involvement","job_satisfaction","education","education_field","business_travel","standard_hours","over_time","monthly_income"
"Stay",33,"female","married","sales","sales_executive",2,4,1,"Bachelor","life_sciences","travel_frequently",80,"no",5376
"Stay",35,"male","divorced","research_development","laboratory_technician",1,3,4,"College","other","travel_rarely",80,"no",1951
"Stay",27,"female","divorced","research_development","laboratory_technician",1,3,1,"Master","life_sciences","travel_rarely",80,"no",2341
"Leave",26,"male","single","research_development","laboratory_technician",1,1,3,"Bachelor","life_sciences","travel_rarely",80,"no",2293
"Stay",27,"male","single","sales","sales_executive",3,3,3,"Bachelor","life_sciences","travel_frequently",80,"no",8726
"Stay",30,"female","single","research_development","laboratory_technician",2,3,4,"College","medical","travel_frequently",80,"no",4011
"Leave",41,"female","married","research_development","research_director",5,3,3,"Bachelor","technical_degree","travel_rarely",80,"no",19545
"Stay",34,"male","single","sales","sales_executive",2,3,3,"Master","marketing","non_travel",80,"no",4568
"Stay",37,"male","married","research_development","research_scientist",1,3,2,"College","life_sciences","travel_rarely",80,"no",3022
"Stay",46,"male","single","sales","sales_executive",2,3,4,"Master","marketing","travel_frequently",80,"yes",5772
"Stay",35,"male","married","research_development","laboratory_technician",1,4,4,"Below College","life_sciences","travel_rarely",80,"no",2269
"Leave",48,"male","single","research_development","laboratory_technician",3,2,3,"College","life_sciences","travel_rarely",80,"yes",5381
"Leave",28,"male","single","research_development","laboratory_technician",1,3,3,"Master","technical_degree","travel_rarely",80,"yes",3441
"Stay",44,"female","divorced","sales","sales_executive",2,3,1,"Doctor","marketing","travel_rarely",80,"yes",5454
"Stay",35,"male","married","research_development","healthcare_representative",3,2,1,"College","medical","non_travel",80,"yes",9884
"Stay",26,"female","married","sales","sales_executive",2,2,4,"Bachelor","marketing","travel_rarely",80,"yes",4157
"Stay",33,"female","single","research_development","research_director",3,3,4,"College","life_sciences","travel_frequently",80,"yes",13458
"Stay",35,"male","married","sales","sales_executive",3,3,1,"Doctor","life_sciences","travel_frequently",80,"no",9069
"Stay",35,"female","married","research_development","laboratory_technician",1,3,1,"Master","medical","travel_rarely",80,"yes",4014
"Stay",31,"male","divorced","research_development","laboratory_technician",2,3,4,"Master","life_sciences","travel_rarely",80,"no",5915
"Stay",37,"male","divorced","research_development","manufacturing_director",2,2,3,"Master","life_sciences","travel_rarely",80,"no",5993
"Stay",32,"male","married","research_development","manufacturing_director",2,3,4,"Bachelor","medical","travel_rarely",80,"yes",6162
"Stay",38,"female","single","research_development","laboratory_technician",2,3,4,"Doctor","life_sciences","travel_frequently",80,"no",2406
"Stay",50,"female","divorced","research_development","research_director",5,2,3,"College","medical","travel_rarely",80,"yes",18740
"Stay",59,"female","single","sales","sales_executive",3,3,1,"Bachelor","life_sciences","travel_rarely",80,"no",7637
"Stay",36,"female","divorced","research_development","healthcare_representative",3,3,3,"Bachelor","technical_degree","travel_rarely",80,"no",10096
"Stay",55,"female","divorced","research_development","manager",4,3,3,"Bachelor","medical","travel_rarely",80,"yes",14756
"Stay",36,"male","single","research_development","manufacturing_director",2,2,2,"Bachelor","life_sciences","travel_frequently",80,"no",6499
"Stay",45,"male","divorced","research_development","research_scientist",3,3,1,"Bachelor","life_sciences","travel_rarely",80,"no",9724
"Stay",35,"male","married","research_development","research_scientist",1,3,1,"Bachelor","medical","travel_frequently",80,"no",2194
"Leave",36,"male","married","research_development","research_scientist",1,2,3,"Bachelor","medical","travel_rarely",80,"yes",3388
"Stay",59,"female","single","sales","sales_executive",2,2,3,"Below College","life_sciences","travel_frequently",80,"no",5473
"Stay",29,"male","married","research_development","research_scientist",1,3,2,"Bachelor","life_sciences","travel_rarely",80,"no",2703
"Stay",31,"male","single","research_development","research_scientist",1,3,2,"Master","medical","travel_rarely",80,"no",2501
"Stay",32,"male","married","research_development","research_scientist",2,3,2,"Bachelor","life_sciences","travel_rarely",80,"no",6220
"Stay",36,"female","married","research_development","laboratory_technician",1,4,4,"Bachelor","life_sciences","travel_rarely",80,"no",3038
"Stay",31,"female","single","research_development","manufacturing_director",2,3,4,"Master","life_sciences","travel_rarely",80,"no",4424
"Stay",35,"male","single","sales","sales_executive",2,2,1,"Master","marketing","travel_rarely",80,"no",4312
"Stay",45,"male","married","research_development","research_director",3,3,1,"Master","other","travel_rarely",80,"yes",13245
"Stay",37,"male","single","research_development","research_director",3,3,3,"Master","medical","travel_rarely",80,"no",13664
"Stay",46,"male","divorced","human_resources","human_resources",2,3,2,"College","medical","travel_rarely",80,"yes",5021
"Stay",30,"male","married","research_development","laboratory_technician",2,2,4,"Below College","life_sciences","travel_rarely",80,"yes",5126
"Stay",35,"male","single","research_development","research_scientist",1,2,3,"Bachelor","medical","travel_rarely",80,"no",2859
"Stay",55,"male","married","sales","sales_executive",3,3,4,"College","life_sciences","travel_rarely",80,"no",10239
"Stay",38,"female","divorced","research_development","research_scientist",2,1,4,"Bachelor","medical","non_travel",80,"yes",5329
"Stay",34,"male","married","research_development","manufacturing_director",2,3,2,"College","medical","travel_rarely",80,"no",4325
"Stay",56,"male","single","research_development","manufacturing_director",3,1,4,"Bachelor","life_sciences","travel_rarely",80,"no",7260
"Stay",23,"male","divorced","sales","sales_representative",1,3,1,"Below College","technical_degree","travel_rarely",80,"no",2322
"Stay",51,"male","married","research_development","laboratory_technician",1,3,4,"Master","life_sciences","travel_rarely",80,"no",2075
"Stay",30,"male","married","research_development","healthcare_representative",2,2,4,"Bachelor","life_sciences","travel_rarely",80,"no",4152
"Leave",46,"male","single","sales","sales_executive",3,2,4,"College","medical","travel_rarely",80,"no",9619
"Stay",40,"male","married","research_development","healthcare_representative",4,2,2,"Master","life_sciences","travel_frequently",80,"no",13503
"Stay",51,"male","single","sales","sales_executive",2,3,4,"Master","marketing","travel_rarely",80,"yes",5441
"Stay",30,"female","divorced","sales","sales_executive",2,2,2,"College","medical","travel_rarely",80,"yes",5209
"Stay",46,"male","married","research_development","healthcare_representative",3,2,1,"Bachelor","medical","travel_frequently",80,"yes",10673
"Stay",32,"male","single","sales","sales_executive",2,3,3,"Master","medical","travel_rarely",80,"no",5010
"Stay",54,"female","married","research_development","research_director",3,3,3,"Master","technical_degree","travel_rarely",80,"no",13549
"Stay",24,"female","married","sales","sales_executive",2,3,3,"College","other","travel_rarely",80,"no",4999
"Stay",28,"male","married","sales","sales_executive",2,3,3,"Bachelor","medical","non_travel",80,"no",4221
"Stay",58,"male","single","sales","sales_executive",4,3,3,"Master","medical","travel_rarely",80,"no",13872
"Stay",44,"male","married","research_development","laboratory_technician",2,3,2,"Bachelor","medical","non_travel",80,"no",2042
"Leave",37,"male","divorced","human_resources","human_resources",1,3,1,"Master","human_resources","travel_rarely",80,"yes",2073
"Stay",32,"male","single","research_development","research_scientist",1,3,1,"Below College","life_sciences","travel_rarely",80,"no",2956
"Leave",20,"female","single","research_development","laboratory_technician",1,2,4,"Bachelor","life_sciences","travel_frequently",80,"yes",2926
"Stay",34,"female","single","research_development","research_scientist",2,3,3,"Master","other","travel_rarely",80,"no",4809
"Stay",37,"male","divorced","research_development","healthcare_representative",2,2,4,"College","life_sciences","non_travel",80,"no",5163
"Stay",59,"female","married","human_resources","manager",5,2,4,"Master","human_resources","non_travel",80,"no",18844
"Stay",50,"female","married","research_development","research_director",5,3,2,"Bachelor","life_sciences","travel_frequently",80,"yes",18172
"Leave",25,"male","single","sales","sales_executive",2,2,3,"Bachelor","marketing","travel_rarely",80,"yes",5744
"Stay",25,"male","married","research_development","research_scientist",1,2,4,"Below College","medical","travel_rarely",80,"no",2889
"Stay",22,"female","single","research_development","laboratory_technician",1,3,4,"Bachelor","medical","travel_rarely",80,"no",2871
"Stay",51,"female","single","research_development","healthcare_representative",3,2,1,"Master","medical","travel_frequently",80,"no",7484
"Leave",34,"male","single","research_development","laboratory_technician",2,1,3,"Bachelor","life_sciences","travel_frequently",80,"yes",6074
"Stay",54,"female","single","human_resources","manager",4,4,4,"Bachelor","human_resources","non_travel",80,"yes",17328
"Stay",24,"male","married","research_development","laboratory_technician",1,3,3,"Below College","life_sciences","travel_rarely",80,"no",2774
"Stay",34,"female","divorced","research_development","research_scientist",2,2,2,"Master","life_sciences","travel_rarely",80,"no",4505
"Stay",37,"male","single","sales","sales_executive",3,3,4,"Bachelor","life_sciences","travel_rarely",80,"no",7428
"Stay",34,"female","single","research_development","manager",3,2,1,"Bachelor","medical","travel_rarely",80,"no",11631
"Stay",36,"female","married","sales","sales_executive",3,3,4,"College","technical_degree","travel_frequently",80,"no",9738
"Stay",36,"female","divorced","research_development","laboratory_technician",1,3,4,"College","life_sciences","travel_rarely",80,"no",2835
"Stay",43,"male","married","sales","manager",4,3,4,"College","life_sciences","travel_frequently",80,"yes",16959
"Stay",30,"male","divorced","research_development","research_scientist",1,1,3,"Bachelor","life_sciences","travel_frequently",80,"no",2613
"Stay",33,"male","married","sales","sales_executive",2,3,2,"College","marketing","non_travel",80,"no",6146
"Leave",56,"female","married","research_development","research_scientist",1,3,2,"Master","life_sciences","travel_rarely",80,"yes",4963
"Stay",51,"male","single","research_development","research_director",5,3,3,"Bachelor","life_sciences","travel_rarely",80,"no",19537
"Leave",31,"male","married","sales","sales_executive",2,1,3,"Master","life_sciences","travel_rarely",80,"yes",6172
"Stay",26,"female","married","research_development","research_scientist",1,2,2,"Bachelor","other","travel_rarely",80,"no",2368
"Leave",58,"female","married","research_development","healthcare_representative",3,3,4,"Master","medical","travel_rarely",80,"no",10312
"Leave",19,"male","single","sales","sales_representative",1,3,3,"Below College","marketing","travel_rarely",80,"yes",1675
"Stay",22,"male","married","research_development","laboratory_technician",1,3,4,"Below College","technical_degree","travel_rarely",80,"no",2523
"Stay",49,"female","married","research_development","manufacturing_director",2,3,1,"Master","medical","travel_rarely",80,"no",6567
"Stay",43,"female","single","research_development","research_scientist",1,4,3,"Bachelor","medical","travel_frequently",80,"no",4739
"Stay",50,"female","single","sales","sales_executive",3,3,4,"Bachelor","marketing","travel_frequently",80,"no",9208
"Leave",31,"female","married","sales","sales_executive",2,1,3,"Bachelor","life_sciences","travel_rarely",80,"yes",4559
"Stay",41,"male","divorced","sales","sales_executive",3,3,3,"Below College","life_sciences","travel_rarely",80,"yes",8189
"Stay",26,"female","married","human_resources","human_resources",1,3,3,"Below College","life_sciences","travel_rarely",80,"no",2942
"Stay",36,"male","divorced","research_development","manufacturing_director",2,3,2,"College","medical","travel_rarely",80,"no",4941
"Leave",51,"male","single","research_development","manufacturing_director",3,1,4,"Master","life_sciences","travel_frequently",80,"no",10650
"Stay",39,"female","married","sales","sales_executive",2,2,3,"Master","life_sciences","travel_rarely",80,"no",5902
"Stay",25,"male","married","sales","sales_executive",2,2,3,"Bachelor","life_sciences","travel_rarely",80,"no",8639
"Stay",30,"male","married","human_resources","human_resources",2,3,4,"Bachelor","human_resources","travel_rarely",80,"yes",6347
"Leave",32,"female","single","research_development","laboratory_technician",1,3,1,"Bachelor","medical","travel_rarely",80,"no",4200
"Stay",45,"male","single","research_development","research_scientist",1,3,4,"Bachelor","medical","travel_rarely",80,"no",3452
"Stay",38,"female","single","research_development","research_scientist",2,3,3,"Doctor","technical_degree","travel_rarely",80,"yes",4317
"Stay",30,"female","single","research_development","research_scientist",1,3,3,"Bachelor","life_sciences","travel_rarely",80,"no",2632
"Stay",32,"male","divorced","sales","sales_executive",2,1,4,"College","medical","travel_frequently",80,"no",4668
"Stay",30,"female","divorced","research_development","research_scientist",1,3,1,"Bachelor","technical_degree","travel_rarely",80,"no",3204
"Stay",30,"male","single","research_development","laboratory_technician",1,2,4,"Below College","medical","travel_rarely",80,"no",2720
"Stay",41,"male","divorced","research_development","manager",4,2,1,"Bachelor","life_sciences","travel_frequently",80,"no",17181
"Stay",41,"male","married","research_development","laboratory_technician",1,3,1,"Master","life_sciences","travel_rarely",80,"no",2238
"Stay",19,"female","single","research_development","laboratory_technician",1,3,2,"Below College","medical","travel_rarely",80,"no",1483
"Stay",40,"female","divorced","research_development","research_scientist",2,3,2,"Bachelor","medical","travel_frequently",80,"no",5605
"Stay",35,"male","married","sales","sales_executive",3,3,2,"Doctor","marketing","travel_rarely",80,"no",7295
"Stay",53,"male","married","sales","sales_representative",2,3,3,"College","marketing","travel_rarely",80,"yes",2306
"Stay",45,"male","divorced","research_development","laboratory_technician",2,3,2,"Bachelor","life_sciences","travel_rarely",80,"no",2348
"Stay",32,"female","single","sales","sales_executive",3,3,4,"Bachelor","marketing","travel_frequently",80,"no",8998
"Stay",29,"male","married","research_development","manufacturing_director",2,3,3,"Below College","technical_degree","non_travel",80,"no",4319
"Stay",51,"male","married","research_development","manufacturing_director",2,2,3,"Master","medical","travel_rarely",80,"no",6132
"Stay",58,"female","married","research_development","research_scientist",1,2,2,"Bachelor","medical","travel_rarely",80,"yes",3346
"Stay",40,"male","married","sales","sales_executive",3,2,4,"Master","marketing","travel_rarely",80,"no",10855
"Stay",34,"female","married","sales","sales_representative",1,3,3,"Master","marketing","travel_frequently",80,"no",2231
"Stay",22,"male","married","research_development","research_scientist",1,3,4,"Below College","medical","travel_rarely",80,"no",2323
"Stay",27,"male","divorced","research_development","research_scientist",1,3,2,"Bachelor","medical","non_travel",80,"no",2024
"Stay",28,"male","married","research_development","research_scientist",1,3,4,"Bachelor","medical","travel_rarely",80,"no",2713
"Stay",57,"male","divorced","research_development","healthcare_representative",3,4,4,"College","life_sciences","travel_rarely",80,"yes",9439
"Stay",27,"male","divorced","research_development","research_scientist",1,2,3,"Bachelor","medical","non_travel",80,"yes",2566
"Stay",50,"female","single","research_development","manager",5,3,2,"Bachelor","life_sciences","travel_rarely",80,"no",19926
"Stay",41,"male","divorced","research_development","research_scientist",1,3,3,"Bachelor","life_sciences","travel_rarely",80,"no",2451
"Stay",30,"female","married","sales","sales_executive",3,3,4,"Bachelor","life_sciences","travel_rarely",80,"no",9419
"Stay",38,"female","single","sales","sales_executive",2,2,4,"Master","life_sciences","travel_rarely",80,"no",8686
"Stay",32,"male","single","research_development","research_scientist",1,3,3,"Doctor","life_sciences","travel_rarely",80,"no",3038
"Stay",27,"male","married","research_development","research_scientist",1,3,2,"Bachelor","technical_degree","travel_rarely",80,"yes",3058
"Leave",19,"female","single","sales","sales_representative",1,1,1,"Below College","technical_degree","travel_frequently",80,"no",2325
"Stay",36,"male","single","research_development","laboratory_technician",1,3,2,"College","medical","travel_frequently",80,"no",2088
"Stay",30,"male","divorced","research_development","laboratory_technician",2,3,1,"Bachelor","medical","non_travel",80,"no",3072
"Stay",45,"female","divorced","sales","sales_executive",2,3,1,"College","life_sciences","travel_rarely",80,"yes",5006
"Stay",56,"female","divorced","research_development","research_scientist",1,3,1,"Bachelor","life_sciences","travel_rarely",80,"yes",4257
"Stay",33,"male","single","research_development","research_scientist",1,3,4,"Bachelor","life_sciences","travel_rarely",80,"no",2500
"Leave",19,"male","single","research_development","laboratory_technician",1,2,4,"Bachelor","life_sciences","travel_rarely",80,"no",1102
"Stay",46,"female","divorced","sales","sales_executive",3,3,1,"College","marketing","travel_rarely",80,"no",10453
"Stay",38,"female","single","research_development","laboratory_technician",1,3,4,"College","life_sciences","travel_rarely",80,"no",2288
"Stay",31,"female","married","research_development","research_scientist",1,3,4,"Below College","medical","travel_rarely",80,"yes",3929
"Stay",34,"female","single","research_development","research_scientist",1,3,2,"College","medical","travel_rarely",80,"no",2311
"Leave",41,"female","single","sales","sales_representative",1,3,2,"College","marketing","travel_rarely",80,"yes",3140
"Stay",50,"male","married","research_development","laboratory_technician",1,2,3,"Bachelor","medical","travel_rarely",80,"no",3690
"Stay",53,"female","divorced","research_development","manufacturing_director",2,4,1,"College","medical","travel_rarely",80,"no",4450
"Stay",33,"female","married","research_development","research_scientist",1,3,2,"Bachelor","medical","travel_rarely",80,"no",2756
"Stay",40,"female","married","research_development","manager",5,3,3,"Below College","medical","travel_rarely",80,"no",19033
"Stay",55,"male","single","research_development","research_director",5,4,2,"Master","medical","travel_rarely",80,"no",18722
"Stay",34,"male","married","research_development","manufacturing_director",2,2,3,"Below College","life_sciences","travel_frequently",80,"no",9547
"Stay",51,"female","single","research_development","healthcare_representative",4,3,2,"Bachelor","medical","travel_rarely",80,"no",13734
"Stay",52,"male","married","research_development","manager",5,2,3,"Master","life_sciences","travel_rarely",80,"no",19999
"Stay",27,"female","single","research_development","research_scientist",1,3,2,"Bachelor","medical","travel_rarely",80,"no",2279
"Leave",35,"male","married","research_development","manufacturing_director",2,2,3,"College","life_sciences","travel_rarely",80,"yes",5916
"Stay",43,"male","divorced","research_development","research_scientist",1,4,4,"Bachelor","medical","non_travel",80,"no",2089
"Stay",45,"male","married","research_development","manager",4,2,4,"College","medical","non_travel",80,"no",16792
"Stay",37,"male","married","research_development","research_scientist",1,4,1,"Bachelor","life_sciences","travel_rarely",80,"yes",3564
"Stay",35,"female","single","research_development","laboratory_technician",2,3,2,"Bachelor","medical","travel_frequently",80,"no",4425
"Stay",42,"female","divorced","research_development","manufacturing_director",2,3,3,"College","medical","non_travel",80,"no",5265
"Stay",38,"male","married","research_development","manufacturing_director",2,3,3,"Master","life_sciences","travel_rarely",80,"no",6553
"Stay",38,"male","married","research_development","manufacturing_director",2,3,4,"Bachelor","technical_degree","travel_rarely",80,"no",6261
"Stay",27,"male","married","research_development","manufacturing_director",2,2,1,"Below College","technical_degree","travel_frequently",80,"no",4298
"Stay",49,"male","divorced","research_development","manufacturing_director",2,3,4,"Master","life_sciences","non_travel",80,"yes",6804
"Stay",34,"male","divorced","research_development","research_scientist",1,3,3,"Master","medical","travel_frequently",80,"yes",3815
"Stay",40,"male","married","research_development","laboratory_technician",2,3,4,"College","medical","travel_rarely",80,"yes",2741
"Leave",38,"male","married","research_development","healthcare_representative",2,3,1,"Below College","medical","travel_rarely",80,"yes",6673
"Leave",29,"female","married","sales","sales_executive",3,3,4,"Bachelor","marketing","travel_rarely",80,"no",7639
"Stay",22,"male","divorced","research_development","research_scientist",1,4,2,"Bachelor","life_sciences","travel_rarely",80,"yes",2328
"Stay",36,"female","single","research_development","laboratory_technician",1,3,4,"Below College","medical","travel_frequently",80,"no",2153
"Stay",40,"male","married","research_development","healthcare_representative",2,2,4,"Doctor","life_sciences","non_travel",80,"no",4876
"Stay",46,"male","divorced","research_development","healthcare_representative",3,3,1,"Master","medical","travel_rarely",80,"no",9396
"Leave",32,"male","married","sales","sales_executive",3,1,4,"Master","medical","travel_rarely",80,"no",10400
"Stay",30,"male","single","research_development","manufacturing_director",3,2,3,"Below College","life_sciences","non_travel",80,"no",8474
"Stay",27,"female","single","sales","sales_executive",2,3,3,"Bachelor","life_sciences","travel_frequently",80,"no",9981
"Stay",51,"male","married","research_development","research_director",3,2,2,"Master","life_sciences","travel_rarely",80,"no",12490
"Leave",30,"female","single","research_development","research_scientist",1,3,1,"Bachelor","technical_degree","travel_rarely",80,"yes",2657
"Stay",41,"female","single","sales","manager",3,3,4,"Bachelor","life_sciences","travel_rarely",80,"yes",13591
"Leave",30,"female","single","sales","sales_executive",2,2,1,"Master","marketing","travel_frequently",80,"no",6696
"Leave",29,"male","single","research_development","research_scientist",1,3,3,"Bachelor","technical_degree","travel_rarely",80,"no",2058
"Stay",45,"female","single","sales","sales_executive",3,2,4,"Bachelor","medical","non_travel",80,"no",8865
"Stay",54,"female","married","sales","sales_executive",2,3,1,"Bachelor","marketing","travel_rarely",80,"no",5940
"Stay",36,"male","single","research_development","laboratory_technician",2,3,2,"College","life_sciences","travel_rarely",80,"no",5914
"Stay",33,"female","married","research_development","research_scientist",1,2,2,"Master","medical","travel_rarely",80,"no",2622
"Stay",37,"male","divorced","research_development","research_director",3,3,4,"Bachelor","other","travel_frequently",80,"yes",12185
"Stay",38,"male","divorced","sales","sales_executive",3,3,3,"Bachelor","life_sciences","travel_rarely",80,"no",10609
"Stay",31,"male","married","research_development","manufacturing_director",2,1,3,"Master","medical","non_travel",80,"no",4345
"Stay",59,"male","married","research_development","research_scientist",1,2,4,"Bachelor","life_sciences","travel_rarely",80,"no",2177
"Stay",37,"male","divorced","sales","sales_representative",1,3,4,"Master","marketing","travel_frequently",80,"no",2793
"Stay",29,"female","married","sales","sales_executive",3,3,4,"Below College","medical","travel_frequently",80,"no",7918
"Stay",35,"female","single","sales","sales_executive",3,3,3,"Bachelor","marketing","travel_frequently",80,"no",8789
"Leave",29,"male","single","research_development","research_scientist",1,2,4,"Below College","medical","travel_rarely",80,"yes",2389
"Stay",52,"female","single","research_development","laboratory_technician",1,2,4,"Bachelor","life_sciences","travel_rarely",80,"no",3212
"Stay",42,"male","married","research_development","manager",5,3,4,"College","technical_degree","travel_rarely",80,"no",19232
"Stay",59,"male","married","human_resources","human_resources",1,3,3,"College","medical","travel_rarely",80,"no",2267
"Stay",50,"female","divorced","sales","manager",5,3,4,"Master","medical","travel_rarely",80,"no",19517
"Leave",33,"male","married","research_development","laboratory_technician",1,3,4,"Bachelor","medical","travel_rarely",80,"yes",2436
"Stay",43,"female","married","sales","manager",4,3,4,"Bachelor","marketing","travel_rarely",80,"yes",16064
"Leave",33,"female","married","research_development","laboratory_technician",1,3,1,"College","life_sciences","travel_rarely",80,"no",2707
"Stay",52,"male","single","sales","manager",5,2,3,"Master","life_sciences","non_travel",80,"yes",19068
"Stay",32,"female","married","sales","sales_representative",1,3,2,"College","life_sciences","travel_rarely",80,"no",3931
"Leave",32,"male","single","research_development","laboratory_technician",1,2,3,"Bachelor","life_sciences","travel_rarely",80,"yes",3730
"Stay",39,"female","divorced","research_development","laboratory_technician",1,3,3,"Master","medical","travel_rarely",80,"no",2232
"Stay",32,"male","married","sales","sales_executive",2,3,4,"Master","marketing","non_travel",80,"no",4465
"Stay",41,"male","divorced","research_development","research_scientist",2,3,1,"College","life_sciences","travel_rarely",80,"no",3072
"Stay",40,"male","divorced","research_development","research_scientist",2,3,4,"College","technical_degree","travel_rarely",80,"no",3319
"Stay",45,"male","married","research_development","manager",5,4,4,"Bachelor","other","travel_rarely",80,"no",19202
"Stay",31,"male","divorced","research_development","research_director",3,3,3,"Master","medical","travel_frequently",80,"no",13675
"Stay",33,"female","married","research_development","research_scientist",1,2,4,"Master","life_sciences","travel_rarely",80,"no",2911
"Stay",34,"male","married","research_development","manufacturing_director",2,2,1,"Master","life_sciences","travel_rarely",80,"no",5957
"Stay",37,"female","married","research_development","research_scientist",1,2,1,"College","medical","travel_rarely",80,"no",3920
"Stay",45,"male","married","research_development","manufacturing_director",2,4,3,"Master","life_sciences","travel_frequently",80,"no",6434
"Leave",37,"male","divorced","research_development","manufacturing_director",3,3,3,"Bachelor","medical","travel_frequently",80,"no",10048
"Stay",39,"female","single","research_development","healthcare_representative",3,3,3,"Master","technical_degree","travel_frequently",80,"no",10938
"Stay",29,"male","single","research_development","research_scientist",1,3,4,"Bachelor","life_sciences","travel_rarely",80,"no",2340
"Stay",42,"female","single","research_development","research_scientist",2,4,1,"College","life_sciences","travel_rarely",80,"yes",6545
"Stay",29,"male","divorced","sales","sales_executive",2,3,4,"College","marketing","travel_rarely",80,"no",6931
"Stay",25,"female","married","research_development","manufacturing_director",2,3,3,"Bachelor","life_sciences","travel_rarely",80,"no",4898
"Stay",42,"female","divorced","research_development","laboratory_technician",1,2,1,"Bachelor","medical","travel_rarely",80,"yes",2593
"Stay",40,"male","divorced","research_development","research_director",5,3,3,"College","medical","travel_rarely",80,"no",19436
"Stay",51,"male","married","research_development","research_scientist",1,3,4,"Bachelor","life_sciences","travel_rarely",80,"no",2723
